requirement_id,source_ids,acceptance_criteria_ids,test_ids,task_ids,risk_ids
FR-001,SRC-002,AC-001,TEST-002;TEST-004;TEST-014,TASK-005;TASK-006,RISK-003;RISK-006
FR-002,SRC-002,AC-002,TEST-002;TEST-004;TEST-014,TASK-005;TASK-006,RISK-003;RISK-006
FR-003,SRC-002,AC-003,TEST-002;TEST-004;TEST-014,TASK-005;TASK-006,RISK-003;RISK-006
FR-004,SRC-002,AC-004,TEST-002;TEST-004;TEST-014,TASK-005;TASK-006,RISK-003;RISK-006
FR-005,SRC-002,AC-005,TEST-002;TEST-004;TEST-014,TASK-005;TASK-006,RISK-003;RISK-006
FR-006,SRC-002,AC-006,TEST-002;TEST-004;TEST-014,TASK-005;TASK-006,RISK-003;RISK-006
FR-007,SRC-002,AC-007,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-008,SRC-002,AC-008,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-009,SRC-002,AC-009,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-010,SRC-002,AC-010,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-011,SRC-002,AC-011,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-012,SRC-002,AC-012,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-013,SRC-002,AC-013,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-014,SRC-002,AC-014,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-015,SRC-002,AC-015,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-016,SRC-002,AC-016,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-017,SRC-002,AC-017,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-018,SRC-002,AC-018,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-019,SRC-002,AC-019,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-020,SRC-002,AC-020,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-021,SRC-002,AC-021,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-022,SRC-002,AC-022,TEST-004;TEST-005;TEST-006,TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015,RISK-002;RISK-005;RISK-006
FR-023,SRC-002,AC-023,TEST-004;TEST-005;TEST-007;TEST-014,TASK-016;TASK-017;TASK-019,RISK-004;RISK-006
FR-024,SRC-002,AC-024,TEST-004;TEST-005;TEST-007;TEST-014,TASK-016;TASK-017;TASK-019,RISK-004;RISK-006
FR-025,SRC-002,AC-025,TEST-004;TEST-005;TEST-007;TEST-014,TASK-016;TASK-017;TASK-019,RISK-004;RISK-006
FR-026,SRC-002,AC-026,TEST-004;TEST-005;TEST-007;TEST-014,TASK-016;TASK-017;TASK-019,RISK-004;RISK-006
FR-027,SRC-002,AC-027,TEST-004;TEST-008,TASK-018,RISK-011;RISK-006
FR-028,SRC-002,AC-028,TEST-004;TEST-008,TASK-018,RISK-011;RISK-006
FR-029,SRC-002,AC-029,TEST-004;TEST-008,TASK-018,RISK-011;RISK-006
